date,"Meal,Inexpensive Restaurant","Meal for 2 People,Mid-range Restaurant,Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle),Cappuccino (regular),Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle),"Milk (regular),(1 liter)",Loaf of Fresh White Bread (500g),"Rice (white),(1kg)",Eggs (regular) (12),Local Cheese (1kg),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apples (1kg),Banana (1kg),Oranges (1kg),Tomato (1kg),Potato (1kg),Onion (1kg),Lettuce (1 head),Water (1.5 liter bottle),Bottle of Wine (Mid-Range),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle).1,Cigarettes 20 Pack (Marlboro),One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1km (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Gasoline (1 liter),"Basic (Electricity,Heating,Cooling,Water,Garbage) for 85m2 Apartment",Mobile Phone Monthly Plan with Calls and 10GB+ Data,"Internet (60 Mbps or More,Unlimited Data,Cable/ADSL)","Fitness Club,Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema,International Release,1 Seat","Preschool (or Kindergarten),Full Day,Private,Monthly for 1 Child",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara,H&M,...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%),Yearly,for 20 Years Fixed-Rate"
2/1/2024,10,50,7,4,3,2.6,1.3,1.16,4.26,1.14,1.08,2.46,4.26,2.94,4.8,0.56,0.7,0.89,1.16,0.35,0.38,1.44,0.73,7,1.42,1.67,4.3,1.5,30,2,1.29,10,6.41,295.46,16.78,15.29,38.71,22.02,9,364.23,65.78,41.38,71.29,103,388.26,275,721.82,484.68,202.71,123.87,976.22,3.45
2/2/2024,10,50.16129032,7.016129032,4,3,2.606774194,1.302903226,1.159032258,4.26,1.140967742,1.080967742,2.461612903,4.258709677,2.942580645,4.803225806,0.560645161,0.700967742,0.891290323,1.16,0.35,0.380967742,1.441612903,0.730645161,7,1.422580645,1.671290323,4.306451613,1.5,30,2.004516129,1.29516129,9.990322581,6.407741935,295.8354839,16.7816129,15.31419355,38.76290323,22.05419355,9,365.4864516,65.88064516,41.41741935,71.36225806,103.1819355,390.6377419,275.7732258,724.4616129,486.3458065,203.3509677,124.3532258,976.22,3.460645161
2/3/2024,10,50.32258065,7.032258065,4,3,2.613548387,1.305806452,1.158064516,4.26,1.141935484,1.081935484,2.463225806,4.257419355,2.94516129,4.806451613,0.561290323,0.701935484,0.892580645,1.16,0.35,0.381935484,1.443225806,0.731290323,7,1.42516129,1.672580645,4.312903226,1.5,30,2.009032258,1.300322581,9.980645161,6.405483871,296.2109677,16.78322581,15.3383871,38.81580645,22.0883871,9,366.7429032,65.98129032,41.45483871,71.43451613,103.363871,393.0154839,276.5464516,727.1032258,488.0116129,203.9919355,124.8364516,976.22,3.471290323
2/4/2024,10,50.48387097,7.048387097,4,3,2.620322581,1.308709677,1.157096774,4.26,1.142903226,1.082903226,2.46483871,4.256129032,2.947741935,4.809677419,0.561935484,0.702903226,0.893870968,1.16,0.35,0.382903226,1.44483871,0.731935484,7,1.427741935,1.673870968,4.319354839,1.5,30,2.013548387,1.305483871,9.970967742,6.403225806,296.5864516,16.78483871,15.36258065,38.86870968,22.12258065,9,367.9993548,66.08193548,41.49225806,71.50677419,103.5458065,395.3932258,277.3196774,729.7448387,489.6774194,204.6329032,125.3196774,976.22,3.481935484
2/5/2024,10,50.64516129,7.064516129,4,3,2.627096774,1.311612903,1.156129032,4.26,1.143870968,1.083870968,2.466451613,4.25483871,2.950322581,4.812903226,0.562580645,0.703870968,0.89516129,1.16,0.35,0.383870968,1.446451613,0.732580645,7,1.430322581,1.67516129,4.325806452,1.5,30,2.018064516,1.310645161,9.961290323,6.400967742,296.9619355,16.78645161,15.38677419,38.9216129,22.15677419,9,369.2558065,66.18258065,41.52967742,71.57903226,103.7277419,397.7709677,278.0929032,732.3864516,491.3432258,205.273871,125.8029032,976.22,3.492580645
2/6/2024,10,50.80645161,7.080645161,4,3,2.633870968,1.314516129,1.15516129,4.26,1.14483871,1.08483871,2.468064516,4.253548387,2.952903226,4.816129032,0.563225806,0.70483871,0.896451613,1.16,0.35,0.38483871,1.448064516,0.733225806,7,1.432903226,1.676451613,4.332258065,1.5,30,2.022580645,1.315806452,9.951612903,6.398709677,297.3374194,16.78806452,15.41096774,38.97451613,22.19096774,9,370.5122581,66.28322581,41.56709677,71.65129032,103.9096774,400.1487097,278.866129,735.0280645,493.0090323,205.9148387,126.286129,976.22,3.503225806
2/7/2024,10,50.96774194,7.096774194,4,3,2.640645161,1.317419355,1.154193548,4.26,1.145806452,1.085806452,2.469677419,4.252258065,2.955483871,4.819354839,0.563870968,0.705806452,0.897741935,1.16,0.35,0.385806452,1.449677419,0.733870968,7,1.435483871,1.677741935,4.338709677,1.5,30,2.027096774,1.320967742,9.941935484,6.396451613,297.7129032,16.78967742,15.43516129,39.02741935,22.22516129,9,371.7687097,66.38387097,41.60451613,71.72354839,104.0916129,402.5264516,279.6393548,737.6696774,494.6748387,206.5558065,126.7693548,976.22,3.513870968
2/8/2024,10,51.12903226,7.112903226,4,3,2.647419355,1.320322581,1.153225806,4.26,1.146774194,1.086774194,2.471290323,4.250967742,2.958064516,4.822580645,0.564516129,0.706774194,0.899032258,1.16,0.35,0.386774194,1.451290323,0.734516129,7,1.438064516,1.679032258,4.34516129,1.5,30,2.031612903,1.326129032,9.932258065,6.394193548,298.0883871,16.79129032,15.45935484,39.08032258,22.25935484,9,373.0251613,66.48451613,41.64193548,71.79580645,104.2735484,404.9041935,280.4125806,740.3112903,496.3406452,207.1967742,127.2525806,976.22,3.524516129
2/9/2024,10,51.29032258,7.129032258,4,3,2.654193548,1.323225806,1.152258065,4.26,1.147741935,1.087741935,2.472903226,4.249677419,2.960645161,4.825806452,0.56516129,0.707741935,0.900322581,1.16,0.35,0.387741935,1.452903226,0.73516129,7,1.440645161,1.680322581,4.351612903,1.5,30,2.036129032,1.331290323,9.922580645,6.391935484,298.463871,16.79290323,15.48354839,39.13322581,22.29354839,9,374.2816129,66.58516129,41.67935484,71.86806452,104.4554839,407.2819355,281.1858065,742.9529032,498.0064516,207.8377419,127.7358065,976.22,3.53516129
2/10/2024,10,51.4516129,7.14516129,4,3,2.660967742,1.326129032,1.151290323,4.26,1.148709677,1.088709677,2.474516129,4.248387097,2.963225806,4.829032258,0.565806452,0.708709677,0.901612903,1.16,0.35,0.388709677,1.454516129,0.735806452,7,1.443225806,1.681612903,4.358064516,1.5,30,2.040645161,1.336451613,9.912903226,6.389677419,298.8393548,16.79451613,15.50774194,39.18612903,22.32774194,9,375.5380645,66.68580645,41.71677419,71.94032258,104.6374194,409.6596774,281.9590323,745.5945161,499.6722581,208.4787097,128.2190323,976.22,3.545806452
2/11/2024,10,51.61290323,7.161290323,4,3,2.667741935,1.329032258,1.150322581,4.26,1.149677419,1.089677419,2.476129032,4.247096774,2.965806452,4.832258065,0.566451613,0.709677419,0.902903226,1.16,0.35,0.389677419,1.456129032,0.736451613,7,1.445806452,1.682903226,4.364516129,1.5,30,2.04516129,1.341612903,9.903225806,6.387419355,299.2148387,16.79612903,15.53193548,39.23903226,22.36193548,9,376.7945161,66.78645161,41.75419355,72.01258065,104.8193548,412.0374194,282.7322581,748.236129,501.3380645,209.1196774,128.7022581,976.22,3.556451613
2/12/2024,10,51.77419355,7.177419355,4,3,2.674516129,1.331935484,1.149354839,4.26,1.150645161,1.090645161,2.477741935,4.245806452,2.968387097,4.835483871,0.567096774,0.710645161,0.904193548,1.16,0.35,0.390645161,1.457741935,0.737096774,7,1.448387097,1.684193548,4.370967742,1.5,30,2.049677419,1.346774194,9.893548387,6.38516129,299.5903226,16.79774194,15.55612903,39.29193548,22.39612903,9,378.0509677,66.88709677,41.7916129,72.08483871,105.0012903,414.4151613,283.5054839,750.8777419,503.003871,209.7606452,129.1854839,976.22,3.567096774
2/13/2024,10,51.93548387,7.193548387,4,3,2.681290323,1.33483871,1.148387097,4.26,1.151612903,1.091612903,2.479354839,4.244516129,2.970967742,4.838709677,0.567741935,0.711612903,0.905483871,1.16,0.35,0.391612903,1.459354839,0.737741935,7,1.450967742,1.685483871,4.377419355,1.5,30,2.054193548,1.351935484,9.883870968,6.382903226,299.9658065,16.79935484,15.58032258,39.34483871,22.43032258,9,379.3074194,66.98774194,41.82903226,72.15709677,105.1832258,416.7929032,284.2787097,753.5193548,504.6696774,210.4016129,129.6687097,976.22,3.577741935
2/14/2024,10,52.09677419,7.209677419,4,3,2.688064516,1.337741935,1.147419355,4.26,1.152580645,1.092580645,2.480967742,4.243225806,2.973548387,4.841935484,0.568387097,0.712580645,0.906774194,1.16,0.35,0.392580645,1.460967742,0.738387097,7,1.453548387,1.686774194,4.383870968,1.5,30,2.058709677,1.357096774,9.874193548,6.380645161,300.3412903,16.80096774,15.60451613,39.39774194,22.46451613,9,380.563871,67.0883871,41.86645161,72.22935484,105.3651613,419.1706452,285.0519355,756.1609677,506.3354839,211.0425806,130.1519355,976.22,3.588387097
2/15/2024,10,52.25806452,7.225806452,4,3,2.69483871,1.340645161,1.146451613,4.26,1.153548387,1.093548387,2.482580645,4.241935484,2.976129032,4.84516129,0.569032258,0.713548387,0.908064516,1.16,0.35,0.393548387,1.462580645,0.739032258,7,1.456129032,1.688064516,4.390322581,1.5,30,2.063225806,1.362258065,9.864516129,6.378387097,300.7167742,16.80258065,15.62870968,39.45064516,22.49870968,9,381.8203226,67.18903226,41.90387097,72.3016129,105.5470968,421.5483871,285.8251613,758.8025806,508.0012903,211.6835484,130.6351613,976.22,3.599032258
2/16/2024,10,52.41935484,7.241935484,4,3,2.701612903,1.343548387,1.145483871,4.26,1.154516129,1.094516129,2.484193548,4.240645161,2.978709677,4.848387097,0.569677419,0.714516129,0.909354839,1.16,0.35,0.394516129,1.464193548,0.739677419,7,1.458709677,1.689354839,4.396774194,1.5,30,2.067741935,1.367419355,9.85483871,6.376129032,301.0922581,16.80419355,15.65290323,39.50354839,22.53290323,9,383.0767742,67.28967742,41.94129032,72.37387097,105.7290323,423.926129,286.5983871,761.4441935,509.6670968,212.3245161,131.1183871,976.22,3.609677419
2/17/2024,10,52.58064516,7.258064516,4,3,2.708387097,1.346451613,1.144516129,4.26,1.155483871,1.095483871,2.485806452,4.239354839,2.981290323,4.851612903,0.570322581,0.715483871,0.910645161,1.16,0.35,0.395483871,1.465806452,0.740322581,7,1.461290323,1.690645161,4.403225806,1.5,30,2.072258065,1.372580645,9.84516129,6.373870968,301.4677419,16.80580645,15.67709677,39.55645161,22.56709677,9,384.3332258,67.39032258,41.97870968,72.44612903,105.9109677,426.303871,287.3716129,764.0858065,511.3329032,212.9654839,131.6016129,976.22,3.620322581
2/18/2024,10,52.74193548,7.274193548,4,3,2.71516129,1.349354839,1.143548387,4.26,1.156451613,1.096451613,2.487419355,4.238064516,2.983870968,4.85483871,0.570967742,0.716451613,0.911935484,1.16,0.35,0.396451613,1.467419355,0.740967742,7,1.463870968,1.691935484,4.409677419,1.5,30,2.076774194,1.377741935,9.835483871,6.371612903,301.8432258,16.80741935,15.70129032,39.60935484,22.60129032,9,385.5896774,67.49096774,42.01612903,72.5183871,106.0929032,428.6816129,288.1448387,766.7274194,512.9987097,213.6064516,132.0848387,976.22,3.630967742
2/19/2024,10,52.90322581,7.290322581,4,3,2.721935484,1.352258065,1.142580645,4.26,1.157419355,1.097419355,2.489032258,4.236774194,2.986451613,4.858064516,0.571612903,0.717419355,0.913225806,1.16,0.35,0.397419355,1.469032258,0.741612903,7,1.466451613,1.693225806,4.416129032,1.5,30,2.081290323,1.382903226,9.825806452,6.369354839,302.2187097,16.80903226,15.72548387,39.66225806,22.63548387,9,386.846129,67.5916129,42.05354839,72.59064516,106.2748387,431.0593548,288.9180645,769.3690323,514.6645161,214.2474194,132.5680645,976.22,3.641612903
2/20/2024,10,53.06451613,7.306451613,4,3,2.728709677,1.35516129,1.141612903,4.26,1.158387097,1.098387097,2.490645161,4.235483871,2.989032258,4.861290323,0.572258065,0.718387097,0.914516129,1.16,0.35,0.398387097,1.470645161,0.742258065,7,1.469032258,1.694516129,4.422580645,1.5,30,2.085806452,1.388064516,9.816129032,6.367096774,302.5941935,16.81064516,15.74967742,39.71516129,22.66967742,9,388.1025806,67.69225806,42.09096774,72.66290323,106.4567742,433.4370968,289.6912903,772.0106452,516.3303226,214.8883871,133.0512903,976.22,3.652258065
2/21/2024,10,53.22580645,7.322580645,4,3,2.735483871,1.358064516,1.140645161,4.26,1.159354839,1.099354839,2.492258065,4.234193548,2.991612903,4.864516129,0.572903226,0.719354839,0.915806452,1.16,0.35,0.399354839,1.472258065,0.742903226,7,1.471612903,1.695806452,4.429032258,1.5,30,2.090322581,1.393225806,9.806451613,6.36483871,302.9696774,16.81225806,15.77387097,39.76806452,22.70387097,9,389.3590323,67.79290323,42.1283871,72.73516129,106.6387097,435.8148387,290.4645161,774.6522581,517.996129,215.5293548,133.5345161,976.22,3.662903226
2/22/2024,10,53.38709677,7.338709677,4,3,2.742258065,1.360967742,1.139677419,4.26,1.160322581,1.100322581,2.493870968,4.232903226,2.994193548,4.867741935,0.573548387,0.720322581,0.917096774,1.16,0.35,0.400322581,1.473870968,0.743548387,7,1.474193548,1.697096774,4.435483871,1.5,30,2.09483871,1.398387097,9.796774194,6.362580645,303.3451613,16.81387097,15.79806452,39.82096774,22.73806452,9,390.6154839,67.89354839,42.16580645,72.80741935,106.8206452,438.1925806,291.2377419,777.293871,519.6619355,216.1703226,134.0177419,976.22,3.673548387
2/23/2024,10,53.5483871,7.35483871,4,3,2.749032258,1.363870968,1.138709677,4.26,1.161290323,1.101290323,2.495483871,4.231612903,2.996774194,4.870967742,0.574193548,0.721290323,0.918387097,1.16,0.35,0.401290323,1.475483871,0.744193548,7,1.476774194,1.698387097,4.441935484,1.5,30,2.099354839,1.403548387,9.787096774,6.360322581,303.7206452,16.81548387,15.82225806,39.87387097,22.77225806,9,391.8719355,67.99419355,42.20322581,72.87967742,107.0025806,440.5703226,292.0109677,779.9354839,521.3277419,216.8112903,134.5009677,976.22,3.684193548
2/24/2024,10,53.70967742,7.370967742,4,3,2.755806452,1.366774194,1.137741935,4.26,1.162258065,1.102258065,2.497096774,4.230322581,2.999354839,4.874193548,0.57483871,0.722258065,0.919677419,1.16,0.35,0.402258065,1.477096774,0.74483871,7,1.479354839,1.699677419,4.448387097,1.5,30,2.103870968,1.408709677,9.777419355,6.358064516,304.096129,16.81709677,15.84645161,39.92677419,22.80645161,9,393.1283871,68.09483871,42.24064516,72.95193548,107.1845161,442.9480645,292.7841935,782.5770968,522.9935484,217.4522581,134.9841935,976.22,3.69483871
2/25/2024,10,53.87096774,7.387096774,4,3,2.762580645,1.369677419,1.136774194,4.26,1.163225806,1.103225806,2.498709677,4.229032258,3.001935484,4.877419355,0.575483871,0.723225806,0.920967742,1.16,0.35,0.403225806,1.478709677,0.745483871,7,1.481935484,1.700967742,4.45483871,1.5,30,2.108387097,1.413870968,9.767741935,6.355806452,304.4716129,16.81870968,15.87064516,39.97967742,22.84064516,9,394.3848387,68.19548387,42.27806452,73.02419355,107.3664516,445.3258065,293.5574194,785.2187097,524.6593548,218.0932258,135.4674194,976.22,3.705483871
2/26/2024,10,54.03225806,7.403225806,4,3,2.769354839,1.372580645,1.135806452,4.26,1.164193548,1.104193548,2.500322581,4.227741935,3.004516129,4.880645161,0.576129032,0.724193548,0.922258065,1.16,0.35,0.404193548,1.480322581,0.746129032,7,1.484516129,1.702258065,4.461290323,1.5,30,2.112903226,1.419032258,9.758064516,6.353548387,304.8470968,16.82032258,15.89483871,40.03258065,22.87483871,9,395.6412903,68.29612903,42.31548387,73.09645161,107.5483871,447.7035484,294.3306452,787.8603226,526.3251613,218.7341935,135.9506452,976.22,3.716129032
2/27/2024,10,54.19354839,7.419354839,4,3,2.776129032,1.375483871,1.13483871,4.26,1.16516129,1.10516129,2.501935484,4.226451613,3.007096774,4.883870968,0.576774194,0.72516129,0.923548387,1.16,0.35,0.40516129,1.481935484,0.746774194,7,1.487096774,1.703548387,4.467741935,1.5,30,2.117419355,1.424193548,9.748387097,6.351290323,305.2225806,16.82193548,15.91903226,40.08548387,22.90903226,9,396.8977419,68.39677419,42.35290323,73.16870968,107.7303226,450.0812903,295.103871,790.5019355,527.9909677,219.3751613,136.433871,976.22,3.726774194
2/28/2024,10,54.35483871,7.435483871,4,3,2.782903226,1.378387097,1.133870968,4.26,1.166129032,1.106129032,2.503548387,4.22516129,3.009677419,4.887096774,0.577419355,0.726129032,0.92483871,1.16,0.35,0.406129032,1.483548387,0.747419355,7,1.489677419,1.70483871,4.474193548,1.5,30,2.121935484,1.429354839,9.738709677,6.349032258,305.5980645,16.82354839,15.94322581,40.1383871,22.94322581,9,398.1541935,68.49741935,42.39032258,73.24096774,107.9122581,452.4590323,295.8770968,793.1435484,529.6567742,220.016129,136.9170968,976.22,3.737419355
2/29/2024,10,54.51612903,7.451612903,4,3,2.789677419,1.381290323,1.132903226,4.26,1.167096774,1.107096774,2.50516129,4.223870968,3.012258065,4.890322581,0.578064516,0.727096774,0.926129032,1.16,0.35,0.407096774,1.48516129,0.748064516,7,1.492258065,1.706129032,4.480645161,1.5,30,2.126451613,1.434516129,9.729032258,6.346774194,305.9735484,16.82516129,15.96741935,40.19129032,22.97741935,9,399.4106452,68.59806452,42.42774194,73.31322581,108.0941935,454.8367742,296.6503226,795.7851613,531.3225806,220.6570968,137.4003226,976.22,3.748064516
3/1/2024,10,54.67741935,7.467741935,4,3,2.796451613,1.384193548,1.131935484,4.26,1.168064516,1.108064516,2.506774194,4.222580645,3.01483871,4.893548387,0.578709677,0.728064516,0.927419355,1.16,0.35,0.408064516,1.486774194,0.748709677,7,1.49483871,1.707419355,4.487096774,1.5,30,2.130967742,1.439677419,9.719354839,6.344516129,306.3490323,16.82677419,15.9916129,40.24419355,23.0116129,9,400.6670968,68.69870968,42.46516129,73.38548387,108.276129,457.2145161,297.4235484,798.4267742,532.9883871,221.2980645,137.8835484,976.22,3.758709677
3/2/2024,10,54.83870968,7.483870968,4,3,2.803225806,1.387096774,1.130967742,4.26,1.169032258,1.109032258,2.508387097,4.221290323,3.017419355,4.896774194,0.579354839,0.729032258,0.928709677,1.16,0.35,0.409032258,1.488387097,0.749354839,7,1.497419355,1.708709677,4.493548387,1.5,30,2.135483871,1.44483871,9.709677419,6.342258065,306.7245161,16.8283871,16.01580645,40.29709677,23.04580645,9,401.9235484,68.79935484,42.50258065,73.45774194,108.4580645,459.5922581,298.1967742,801.0683871,534.6541935,221.9390323,138.3667742,976.22,3.769354839
3/3/2024,10,55,7.5,4,3,2.81,1.39,1.13,4.26,1.17,1.11,2.51,4.22,3.02,4.9,0.58,0.73,0.93,1.16,0.35,0.41,1.49,0.75,7,1.5,1.71,4.5,1.5,30,2.14,1.45,9.7,6.34,307.1,16.83,16.04,40.35,23.08,9,403.18,68.9,42.54,73.53,108.64,461.97,298.97,803.71,536.32,222.58,138.85,976.22,3.78
3/4/2024,10,55.17857143,7.482142857,4,3.017857143,2.811785714,1.391785714,1.130357143,4.260357143,1.170357143,1.113928571,2.510714286,4.228214286,3.018928571,4.895714286,0.580357143,0.730357143,0.930714286,1.165714286,0.35,0.410357143,1.489285714,0.750714286,7,1.5,1.710357143,4.5,1.5,30,2.135714286,1.447142857,9.703571429,6.34,306.9957143,16.84321429,16.03214286,40.38142857,23.11285714,9.035714286,403.7807143,69.21892857,42.55357143,73.86821429,108.8542857,461.7289286,299.3964286,804.0535714,536.7528571,222.58,138.6325,976.22,3.788928571
3/5/2024,10,55.35714286,7.464285714,4,3.035714286,2.813571429,1.393571429,1.130714286,4.260714286,1.170714286,1.117857143,2.511428571,4.236428571,3.017857143,4.891428571,0.580714286,0.730714286,0.931428571,1.171428571,0.35,0.410714286,1.488571429,0.751428571,7,1.5,1.710714286,4.5,1.5,30,2.131428571,1.444285714,9.707142857,6.34,306.8914286,16.85642857,16.02428571,40.41285714,23.14571429,9.071428571,404.3814286,69.53785714,42.56714286,74.20642857,109.0685714,461.4878571,299.8228571,804.3971429,537.1857143,222.58,138.415,976.22,3.797857143
3/6/2024,10,55.53571429,7.446428571,4,3.053571429,2.815357143,1.395357143,1.131071429,4.261071429,1.171071429,1.121785714,2.512142857,4.244642857,3.016785714,4.887142857,0.581071429,0.731071429,0.932142857,1.177142857,0.35,0.411071429,1.487857143,0.752142857,7,1.5,1.711071429,4.5,1.5,30,2.127142857,1.441428571,9.710714286,6.34,306.7871429,16.86964286,16.01642857,40.44428571,23.17857143,9.107142857,404.9821429,69.85678571,42.58071429,74.54464286,109.2828571,461.2467857,300.2492857,804.7407143,537.6185714,222.58,138.1975,976.22,3.806785714
3/7/2024,10,55.71428571,7.428571429,4,3.071428571,2.817142857,1.397142857,1.131428571,4.261428571,1.171428571,1.125714286,2.512857143,4.252857143,3.015714286,4.882857143,0.581428571,0.731428571,0.932857143,1.182857143,0.35,0.411428571,1.487142857,0.752857143,7,1.5,1.711428571,4.5,1.5,30,2.122857143,1.438571429,9.714285714,6.34,306.6828571,16.88285714,16.00857143,40.47571429,23.21142857,9.142857143,405.5828571,70.17571429,42.59428571,74.88285714,109.4971429,461.0057143,300.6757143,805.0842857,538.0514286,222.58,137.98,976.22,3.815714286
3/8/2024,10,55.89285714,7.410714286,4,3.089285714,2.818928571,1.398928571,1.131785714,4.261785714,1.171785714,1.129642857,2.513571429,4.261071429,3.014642857,4.878571429,0.581785714,0.731785714,0.933571429,1.188571429,0.35,0.411785714,1.486428571,0.753571429,7,1.5,1.711785714,4.5,1.5,30,2.118571429,1.435714286,9.717857143,6.34,306.5785714,16.89607143,16.00071429,40.50714286,23.24428571,9.178571429,406.1835714,70.49464286,42.60785714,75.22107143,109.7114286,460.7646429,301.1021429,805.4278571,538.4842857,222.58,137.7625,976.22,3.824642857
3/9/2024,10,56.07142857,7.392857143,4,3.107142857,2.820714286,1.400714286,1.132142857,4.262142857,1.172142857,1.133571429,2.514285714,4.269285714,3.013571429,4.874285714,0.582142857,0.732142857,0.934285714,1.194285714,0.35,0.412142857,1.485714286,0.754285714,7,1.5,1.712142857,4.5,1.5,30,2.114285714,1.432857143,9.721428571,6.34,306.4742857,16.90928571,15.99285714,40.53857143,23.27714286,9.214285714,406.7842857,70.81357143,42.62142857,75.55928571,109.9257143,460.5235714,301.5285714,805.7714286,538.9171429,222.58,137.545,976.22,3.833571429
3/10/2024,10,56.25,7.375,4,3.125,2.8225,1.4025,1.1325,4.2625,1.1725,1.1375,2.515,4.2775,3.0125,4.87,0.5825,0.7325,0.935,1.2,0.35,0.4125,1.485,0.755,7,1.5,1.7125,4.5,1.5,30,2.11,1.43,9.725,6.34,306.37,16.9225,15.985,40.57,23.31,9.25,407.385,71.1325,42.635,75.8975,110.14,460.2825,301.955,806.115,539.35,222.58,137.3275,976.22,3.8425
3/11/2024,10,56.42857143,7.357142857,4,3.142857143,2.824285714,1.404285714,1.132857143,4.262857143,1.172857143,1.141428571,2.515714286,4.285714286,3.011428571,4.865714286,0.582857143,0.732857143,0.935714286,1.205714286,0.35,0.412857143,1.484285714,0.755714286,7,1.5,1.712857143,4.5,1.5,30,2.105714286,1.427142857,9.728571429,6.34,306.2657143,16.93571429,15.97714286,40.60142857,23.34285714,9.285714286,407.9857143,71.45142857,42.64857143,76.23571429,110.3542857,460.0414286,302.3814286,806.4585714,539.7828571,222.58,137.11,976.22,3.851428571
3/12/2024,10,56.60714286,7.339285714,4,3.160714286,2.826071429,1.406071429,1.133214286,4.263214286,1.173214286,1.145357143,2.516428571,4.293928571,3.010357143,4.861428571,0.583214286,0.733214286,0.936428571,1.211428571,0.35,0.413214286,1.483571429,0.756428571,7,1.5,1.713214286,4.5,1.5,30,2.101428571,1.424285714,9.732142857,6.34,306.1614286,16.94892857,15.96928571,40.63285714,23.37571429,9.321428571,408.5864286,71.77035714,42.66214286,76.57392857,110.5685714,459.8003571,302.8078571,806.8021429,540.2157143,222.58,136.8925,976.22,3.860357143
3/13/2024,10,56.78571429,7.321428571,4,3.178571429,2.827857143,1.407857143,1.133571429,4.263571429,1.173571429,1.149285714,2.517142857,4.302142857,3.009285714,4.857142857,0.583571429,0.733571429,0.937142857,1.217142857,0.35,0.413571429,1.482857143,0.757142857,7,1.5,1.713571429,4.5,1.5,30,2.097142857,1.421428571,9.735714286,6.34,306.0571429,16.96214286,15.96142857,40.66428571,23.40857143,9.357142857,409.1871429,72.08928571,42.67571429,76.91214286,110.7828571,459.5592857,303.2342857,807.1457143,540.6485714,222.58,136.675,976.22,3.869285714
